,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-1616.0,-1726.0,736.0,486.0,651.0,469.0,-545.0,-500.0,-100.0,-100.0,0.0
MLPRegressor,-651.0,-1501.0,-2300.0,15.0,756.0,161.0,479.0,135.0,505.0,685.0,420.0
KNeighborsRegressor,-2228.0,-2423.0,-27.0,-1112.0,-452.0,-227.0,-432.0,-1035.0,-240.0,-300.0,-200.0
XGBRegressor,-2358.0,-1196.0,-1797.0,-1467.0,-392.0,-553.0,707.0,-125.0,-60.0,140.0,105.0
Lasso,-45.0,-2210.0,70.0,860.0,-471.0,-654.0,-64.0,-200.0,-100.0,0.0,0.0
Ridge,-1112.0,-1599.0,310.0,691.0,631.0,369.0,-440.0,-500.0,-100.0,-100.0,0.0
SGDRegressor,-365.0,789.0,290.0,480.0,-329.0,-409.0,-264.0,-95.0,-100.0,0.0,0.0
