,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-6650.0,-6070.0,-2300.0,-2760.0,-2840.0,-1460.0,-1240.0,-1460.0,-420.0,-260.0,-140.0
MLPRegressor,-4760.0,-3710.0,-2770.0,-1790.0,430.0,3050.0,1880.0,560.0,-680.0,-100.0,460.0
KNeighborsRegressor,-10400.0,-6050.0,-5890.0,-4520.0,-1780.0,-2890.0,-800.0,-920.0,890.0,-200.0,-1040.0
XGBRegressor,-8330.0,-5750.0,-4780.0,-1610.0,-1110.0,-3750.0,-3320.0,-2800.0,-1270.0,-790.0,-290.0
Lasso,-6440.0,-4770.0,-2390.0,-3590.0,-4320.0,-1880.0,-2330.0,-930.0,-910.0,-140.0,-140.0
Ridge,-6650.0,-6770.0,-2860.0,-2130.0,-1710.0,-1260.0,-1540.0,-1140.0,-1140.0,-270.0,-20.0
SGDRegressor,-11060.0,-4940.0,-5030.0,-3490.0,-4060.0,-2620.0,-3680.0,-1870.0,-800.0,-550.0,-450.0
