,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,620.0,591.0,845.0,1085.0,955.0,1235.0,630.0,450.0,235.0,110.0,0.0
MLPRegressor,1761.0,1341.0,-635.0,170.0,-725.0,-730.0,325.0,881.0,326.0,175.0,100.0
KNeighborsRegressor,4033.0,3708.0,3279.0,1548.0,-47.0,-15.0,525.0,405.0,480.0,255.0,110.0
XGBRegressor,4094.0,4166.0,4440.0,3810.0,2265.0,1322.0,492.0,117.0,130.0,-250.0,-300.0
Lasso,667.0,-69.0,836.0,1380.0,995.0,570.0,330.0,210.0,0.0,0.0,0.0
Ridge,688.0,505.0,175.0,1450.0,945.0,1125.0,685.0,450.0,110.0,0.0,0.0
SGDRegressor,72.0,612.0,1526.0,1445.0,1160.0,500.0,355.0,110.0,110.0,110.0,0.0
