,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-5822.4462304328645,-4122.558219084742,-3761.7985365178993,-3584.9002427188966,-3182.2115216289453,-3938.741177932675,-2679.2530530267463,-2253.7829416060717,-1835.8282947684663,-1364.1174806999145,-1300.8783469612085
MLPRegressor,-8700.55624365719,-7213.871067428682,-5141.528238528733,-4444.555131805547,-2437.386500874414,-1007.2885580177219,-600.821373452906,-686.1086399855775,1212.9649076678108,1047.611555941453,1018.6631099376766
KNeighborsRegressor,-5253.704721102185,-2754.020460830634,-1573.03622829829,-275.8030564015684,-797.7105815729217,-1220.9660734483691,-1520.0437533429324,-1604.770455990438,-1829.4341066590475,-1807.0840127071867,-1591.4718276997653
XGBRegressor,-6850.014064979394,-4399.954523343295,-4097.470562994088,-5066.760217660927,-4263.358491011499,-2735.5102170026953,-2837.954912262299,-1695.3249226790306,-1069.998381719406,-571.7283007721002,-488.47428399061437
Lasso,-4160.913710754041,-4632.784742332076,-4450.113726821917,-3191.4019003270137,-2431.533304339018,-3262.4274000581368,-2884.966101320358,-1865.0681329307965,-1227.437874280272,-1512.3926919979774,-864.048761178703
Ridge,-5182.556956401347,-3987.863602107507,-3645.0794784819855,-4309.4054345628865,-2475.8271948421775,-3468.309760811665,-2291.8387468076658,-1772.3227617476991,-1276.254008426107,-1325.7564008044928,-1225.718210791567
SGDRegressor,-4561.318964770445,-3927.5600423905726,-3964.9606572877638,-1842.432191370534,-2293.3762687457543,-3255.0112320563153,-2478.3882415751978,-1617.3572725400043,-1105.1432571146765,-1263.9569661278827,-632.0934931765654
