,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,2571.0,799.0,514.0,354.0,215.0,275.0,425.0,185.0,160.0,-100.0,0.0
MLPRegressor,367.0,1132.0,628.0,122.0,976.0,1562.0,111.0,-199.0,271.0,30.0,430.0
KNeighborsRegressor,-2603.0,-3086.0,-2285.0,-2220.0,-2225.0,-1155.0,-870.0,-480.0,-255.0,-200.0,-100.0
XGBRegressor,2293.0,1897.0,107.0,-1436.0,-206.0,-6.0,-225.0,300.0,-206.0,-400.0,-435.0
Lasso,1496.0,260.0,940.0,284.0,-40.0,105.0,60.0,10.0,10.0,0.0,0.0
Ridge,2007.0,404.0,475.0,124.0,490.0,215.0,425.0,185.0,160.0,-100.0,0.0
SGDRegressor,2092.0,1240.0,290.0,559.0,170.0,200.0,65.0,160.0,-100.0,0.0,0.0
