,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-8790.0,-5100.0,-2190.0,2100.0,550.0,1520.0,2200.0,2170.0,790.0,-1050.0,380.0
MLPRegressor,-9420.0,-9990.0,-3630.0,-170.0,390.0,-1240.0,1230.0,1270.0,160.0,-780.0,1460.0
KNeighborsRegressor,-970.0,-210.0,4900.0,2860.0,1380.0,3890.0,4580.0,6190.0,6670.0,5050.0,3230.0
XGBRegressor,-7530.0,-5400.0,-340.0,2360.0,2850.0,1730.0,5940.0,4570.0,2780.0,3590.0,3360.0
Lasso,-10050.0,-6150.0,-1410.0,-1130.0,1350.0,2030.0,2780.0,510.0,820.0,990.0,120.0
Ridge,-11100.0,-5900.0,-3050.0,1010.0,190.0,1030.0,1090.0,1150.0,-390.0,180.0,900.0
SGDRegressor,-7530.0,-8550.0,-2110.0,860.0,1940.0,1230.0,3660.0,1520.0,1390.0,-630.0,-50.0
