,2015,2016,2017,2018,2019,2020,all_years
Vegas,10.497015844444245,10.714475449463729,10.707519335477976,10.550720645106582,10.538660310079955,10.65567139113591,10.610677162618066
HuberRegressor,10.794450286548894,11.093532054730638,11.087909695697054,10.955639863334524,11.039324637385516,11.153399159822598,11.020709282919873
MLPRegressor,11.324256502291458,11.389123593302125,11.52089669925182,11.186845349087024,11.33324529546376,11.410703831508354,11.360845211817425
KNeighborsRegressor,10.924050901163735,11.188709893792604,11.222695457342668,11.098517414273223,11.18871187342457,11.194796876413612,11.136247069401733
XGBRegressor,11.008527026324156,11.304894731964286,11.237154425844045,11.032989134866906,11.073836325582652,11.153861021303836,11.135210444314312
Lasso,10.757313312261942,11.091878571069639,11.101967044198846,10.950481249138038,11.055565802348548,11.154505914771509,11.018618648964754
Ridge,10.779496797077515,11.084723665606745,11.081857546271914,10.95761774402899,11.03853220335682,11.147949279682162,11.015029539337357
SGDRegressor,10.788472666402836,11.117334300445162,11.124074824019646,10.957978194676008,11.06315858104759,11.175292698326329,11.037718544152929
