,2015,2016,2017,2018,2019,2020,all_years
Vegas,8.238175675675675,8.421736375158428,8.42453069507864,8.35676532769556,8.330130529369107,8.447355691712351,8.369782382448294
HuberRegressor,8.507392751958413,8.677440700114472,8.753301206457753,8.683149074539903,8.706818801942257,8.817643041889307,8.69095759615035
MLPRegressor,8.947795349342558,8.943135374641468,9.113996571313546,8.849817630637169,8.91153490771737,9.061398390242488,8.971279703982432
KNeighborsRegressor,8.59227195945946,8.76669835234474,8.838521055301877,8.80217758985201,8.81230964467005,8.864301838116736,8.779380073290811
XGBRegressor,8.689196116215474,8.930860918284369,8.865116845164307,8.781379243233744,8.747010973072122,8.847647988308019,8.81020201404634
Lasso,8.478512845134247,8.683020143355415,8.771267660096296,8.678082448147661,8.724768593516425,8.825533418778575,8.69353085150477
Ridge,8.49622042604868,8.672714229531973,8.748068866895688,8.685576311241809,8.70813885091104,8.813444965398908,8.687360608338016
SGDRegressor,8.497339747773966,8.702799330039575,8.787594991323289,8.68916158477357,8.731801448629612,8.846608988721735,8.709217681876957
