,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,513.0,-673.0,12.0,1115.0,1366.0,1164.0,454.0,-200.0,-100.0,0.0,0.0
MLPRegressor,2679.0,3531.0,4305.0,3209.0,1830.0,1805.0,2310.0,1670.0,1380.0,157.0,10.0
KNeighborsRegressor,1574.0,2981.0,1646.0,750.0,1403.0,-392.0,-422.0,243.0,-20.0,-25.0,75.0
XGBRegressor,3993.0,3488.0,3356.0,2855.0,2970.0,2068.0,1048.0,88.0,-12.0,-77.0,-7.0
Lasso,1816.0,-543.0,856.0,615.0,39.0,414.0,211.0,-180.0,-100.0,0.0,0.0
Ridge,-627.0,-298.0,492.0,1320.0,1191.0,1014.0,554.0,-200.0,-100.0,0.0,0.0
SGDRegressor,1206.0,231.0,921.0,815.0,424.0,371.0,111.0,-80.0,0.0,0.0,0.0
