,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-2507.9088983083375,-3252.076160166126,-1264.9514265440007,-1911.4053955583186,-900.3201020695215,-1579.2169039679961,-1255.5263125481442,194.21866640229075,713.4002308429586,-179.58782233663626,-656.3066571465532
MLPRegressor,-125.86700735743295,631.5337420096182,-1649.248304982322,-30.924866788865643,-215.0456528537431,847.629289070185,2542.1889789083284,949.8397471962124,1312.807483777152,1581.6795058679404,1609.2482388579215
KNeighborsRegressor,-1310.976995969489,-1234.0886464877958,-1502.9389977515325,-486.7347286805047,-205.21620004601672,-166.79270998544334,-26.80517176840305,62.090231213578036,350.80143381655387,-46.303489531612485,-281.2674670365904
XGBRegressor,-1473.1782965606262,-3175.513346702978,-3729.571570337133,-2528.6581578561645,-1927.9857034427873,-2098.473206155569,-1755.8734660590542,-607.0602100724965,596.4482389767626,402.8520905148544,-536.8157125552459
Lasso,-952.3150454500441,-2444.0051872725035,-332.1093914545425,-1607.93821192469,-1737.878674859116,-1710.4052314861387,-764.0046767399955,221.19452254714218,124.93308314248485,-463.2608736228691,-281.14079324349245
Ridge,-1679.1473925930013,-3276.927279542637,-833.8044165550187,-1788.6456977418443,-1335.8252087541523,-1380.0039329642918,-692.3990091850969,485.91691666939903,482.28555760596004,-8.770717119553716,-409.49898650901696
SGDRegressor,-1933.2390211764412,753.144567274527,-1052.5029031296076,-1387.8534555040035,-1636.774130310899,-1320.8017582403095,-1025.8513034013963,28.62767238847057,4.44746601297004,-175.8215858375053,-498.9542612396755
