,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-4758.875536190069,-3603.1704529961094,-2256.465629060407,-952.8495825583736,503.7090344260656,0.08602542003200853,610.1869569495609,-59.139528608795715,204.2095875642527,357.49863081241284,49.29429978293499
MLPRegressor,-2412.753289151686,-1025.247720542032,-193.7965990844828,-606.5556186375886,-1455.748922165051,-967.3601097830372,390.68144045900783,-985.4772523701861,-134.62204090441827,-1384.8669255515033,-778.121584515001
KNeighborsRegressor,-4134.181317270976,-1676.8330821168233,-1127.7147514609856,256.6235501821651,584.2376670242437,-224.81541845410263,894.5164063473615,467.9321918480234,-48.58988221564954,9.114104733994381,-143.7030510252236
XGBRegressor,-3021.5593365408126,-2620.0340100955395,-1494.5071380058778,-205.4941611593027,-1904.9272433762899,-411.7053192376213,147.2555668954984,-418.60755509956493,-802.7796939712208,-880.0558662733881,-605.163486853793
Lasso,-3515.6038773385458,-3948.1129994737544,-1578.370947450969,51.027807612816005,-600.3166534790327,-696.7113953259727,-162.3197128830173,-42.21755785529574,275.2226171869486,-46.77828234867666,-255.13256371873516
Ridge,-5973.26947558405,-3471.679299222338,-1966.8998139613175,-852.5752268141317,-32.96695775053895,263.60219551780915,533.3091738612244,23.03381553263135,225.266471856431,224.4114587252414,64.52680936751149
SGDRegressor,-4099.30113723073,-2911.283888556606,-796.6546420060961,368.2864902121836,-904.5946874425603,404.4610082283792,80.63607340803131,135.40757473911174,344.0930132367151,-351.3942181164341,-282.70527518673833
