,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-3799.8988277617595,-2460.4082839688513,-1879.7774433406155,-890.1029549263721,-1011.0242989261345,-977.2327776224978,-1367.5652749015576,-877.7822699918211,-275.1735259175831,-193.80677383124936,-168.75142068262636
MLPRegressor,-3434.589396079519,-2618.44141488908,-2577.718435413909,-1759.2971452627025,-2831.773985446875,-2250.797036723756,-1343.3452088156744,-933.8163481473432,-351.96194435324423,575.3157668478275,464.319353449822
KNeighborsRegressor,-1704.7355403083861,-1392.1615908947579,-807.1219861102667,-1962.3196298464704,-2284.115074828878,-1421.8707870563255,-977.5625169719808,-1040.0558660438796,-700.5386617139633,-372.5455102018184,-289.0949292240045
XGBRegressor,-1082.5795648045366,-1455.137149269913,-1353.6661814043791,-774.7886815289648,-1051.9400664908164,-822.053582838255,-1751.372704658726,-1368.5749350878432,-601.8954502505596,-1006.6578850883553,-269.60292795267
Lasso,-3897.908021682812,-4085.9081358631015,-1674.5493750689473,-725.423122266796,-980.6682698172871,-1359.3924741963021,-1468.4776317962999,-553.5598796963477,-328.8985819403522,-169.82493521739022,-389.013053888812
Ridge,-3699.877182740113,-3233.7694466157313,-2037.9421109170412,-1248.5112926204258,-889.7447404152929,-944.0121793014702,-1124.567521790263,-776.0309884610888,-287.3751187507871,-239.83851986299524,-374.4855336326614
SGDRegressor,-4272.082505931827,-2672.1922469348824,-965.5170639456751,-389.19862229877,-1212.7804936047812,-1974.778476749551,-750.2153964908713,-531.3183105715069,-160.2264513620428,-348.2501092958973,-146.7690637887853
