,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-29183.127499659866,-24887.484422124086,-17481.85088737466,-13327.742843925565,-9806.620111148177,-11653.487700977894,-8848.50103870589,-6880.74779903578,-1681.5408527334112,-1700.5129345931769,-2385.913528482048
MLPRegressor,-24766.22879630012,-19336.03374508686,-16050.67362808617,-10042.534734961288,-8681.156964741003,-4682.859125754591,-929.0100244122779,-3252.02661775718,-647.0940511636888,-556.3948267682872,1281.1716552390246
KNeighborsRegressor,-27110.714861165652,-18285.555960053058,-13795.716878666079,-8538.093427631378,-8379.270931566767,-6774.779513126154,-3691.436432920603,-5288.75448602047,-4759.290819656418,-4195.07239513336,-3444.868620820757
XGBRegressor,-24734.441918315413,-22508.75782378257,-20895.167431736765,-15361.785773386078,-16227.822623905338,-10879.513656378513,-9216.96108400756,-6762.130587723608,-3609.0507468982732,-3392.2715785598502,-3308.0319220424267
Lasso,-23784.026354347287,-27000.350102051634,-15811.825471586553,-10778.084845331994,-12040.81688321939,-11524.238695331996,-8803.82670330194,-5261.634250469547,-1463.5399496312816,-1851.0374060641573,-1981.3072795781914
Ridge,-29271.329351765708,-25879.12747294021,-17265.31533013995,-13764.009023013266,-9765.03817170641,-10461.568385096198,-7741.885257415161,-5549.802689706248,-1542.8442554010226,-1741.707429519715,-1873.0515913721
SGDRegressor,-25821.639174683078,-17501.018822645052,-14980.617223204665,-7971.449322602593,-12369.186995404985,-11278.642440697526,-7209.688625518267,-2948.5177187079958,-997.2343812399529,-2044.6226527299073,-1797.8398134121135
