,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-19680.0,-15770.0,-12110.0,-7510.0,-4200.0,-4170.0,-2460.0,-490.0,660.0,840.0,1950.0
MLPRegressor,-10860.0,-10090.0,-7200.0,-6390.0,-3760.0,-650.0,-2150.0,900.0,560.0,1850.0,1110.0
KNeighborsRegressor,4300.0,4720.0,2950.0,6570.0,6930.0,6950.0,5650.0,6870.0,6490.0,4650.0,2780.0
XGBRegressor,-10440.0,-9720.0,-4560.0,-4050.0,-790.0,530.0,2660.0,2070.0,3480.0,2700.0,2110.0
Lasso,-17580.0,-18130.0,-10980.0,-5470.0,-6890.0,-3370.0,-1800.0,-1780.0,380.0,1870.0,1070.0
Ridge,-20730.0,-16980.0,-11210.0,-7600.0,-4530.0,-3490.0,-2330.0,240.0,500.0,1760.0,2720.0
SGDRegressor,-22830.0,-16340.0,-10200.0,-7930.0,-4980.0,-3330.0,-650.0,-1960.0,-910.0,1740.0,900.0
