,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-9490.0,-7310.0,-6820.0,-4900.0,-3580.0,-1970.0,320.0,1330.0,30.0,-1490.0,-960.0
MLPRegressor,-13270.0,-9770.0,-7680.0,-6180.0,-5900.0,-6030.0,-2780.0,-2270.0,-3460.0,-1770.0,-1360.0
KNeighborsRegressor,3770.0,3430.0,1660.0,2390.0,2260.0,760.0,930.0,-380.0,1340.0,210.0,-600.0
XGBRegressor,-5500.0,-5790.0,-3920.0,-5520.0,-5380.0,-2810.0,-1860.0,-3560.0,-1730.0,-1110.0,-710.0
Lasso,-8230.0,-7940.0,-7530.0,-6320.0,-3540.0,-3910.0,-460.0,1490.0,990.0,680.0,-1080.0
Ridge,-6760.0,-7670.0,-7920.0,-4690.0,-3390.0,-1340.0,120.0,320.0,-230.0,-660.0,-810.0
SGDRegressor,-9070.0,-8460.0,-8360.0,-7110.0,-4580.0,-4110.0,-770.0,950.0,1030.0,-830.0,-910.0
