,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-3686.1461552020837,-4424.092707909928,-3755.8626171505693,-2110.900752439186,-2185.4322647489344,-2788.6955934432863,-1594.9399285500951,-1972.7881075854518,-571.732483283625,-653.5780966155643,-849.6954248372301
MLPRegressor,-4505.881128352622,-3889.710146953958,-2661.143543812826,-1874.156528396882,-1651.0620096279267,-922.6868310394715,-1938.3350993188271,-2172.951706408256,-2416.90672813944,-2225.491144218483,-1321.7123981984562
KNeighborsRegressor,-6846.535013201643,-5403.348555738757,-5052.465340327911,-3147.405633981668,-2988.3174023854317,-2254.8003848476783,-1487.8697071844636,-1990.8232663291665,-1628.3999088926503,-1411.078840351038,-611.8614211478255
XGBRegressor,-4079.115240745519,-4128.9857612820315,-3997.826345341534,-2245.304551900422,-2347.3243094569552,-1955.9193176453418,-1394.7299513740109,-931.8724454514017,-683.7575832058769,-728.3864806946605,-329.99206878822645
Lasso,-4240.239437688063,-4355.859802563698,-3202.3162269290033,-2543.5899967676487,-3204.595573001435,-2834.8644031762124,-2059.8022890459106,-1764.0390668068715,-484.0879598061197,-231.32519788269923,-367.26800282119495
Ridge,-4211.384250440197,-5017.644692648347,-3972.472300964008,-1806.6956140731597,-1886.278576654413,-2413.214253441805,-1613.7052374148723,-1874.3210838603595,-532.615308082415,-513.882827970817,-509.5314852870076
SGDRegressor,-3602.5497077370296,-3691.6236448387044,-3309.932422927367,-2232.595733574921,-3239.09651339551,-2663.654611607598,-1697.0791507611698,-641.7902869113659,-585.5729456742931,-339.38665471400105,-560.4466711544037
