,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-60080.0,-43480.0,-30810.0,-15640.0,-7900.0,-6050.0,1690.0,2060.0,2340.0,-550.0,2590.0
MLPRegressor,-40760.0,-36930.0,-21430.0,-13990.0,-10080.0,-7900.0,-3870.0,-780.0,-1220.0,1340.0,3030.0
KNeighborsRegressor,6920.0,10450.0,11110.0,16700.0,15060.0,22330.0,18700.0,20330.0,22830.0,15750.0,9360.0
XGBRegressor,-36980.0,-30840.0,-16890.0,-11520.0,-9500.0,-5910.0,5380.0,7300.0,10170.0,10370.0,10120.0
Lasso,-55250.0,-48120.0,-30430.0,-19390.0,-15050.0,-5080.0,1210.0,3750.0,4680.0,7100.0,2350.0
Ridge,-56930.0,-46440.0,-29910.0,-17750.0,-8970.0,-2860.0,360.0,930.0,400.0,3590.0,3330.0
SGDRegressor,-64910.0,-49880.0,-33640.0,-21950.0,-12090.0,-5530.0,5280.0,4510.0,5640.0,3050.0,1730.0
