,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,180.0,1100.0,1190.0,790.0,1380.0,890.0,1740.0,670.0,1690.0,1440.0,1200.0
MLPRegressor,600.0,-1520.0,-760.0,770.0,90.0,970.0,1430.0,1740.0,1590.0,2280.0,2040.0
KNeighborsRegressor,2740.0,2520.0,740.0,2010.0,1520.0,3300.0,3120.0,2700.0,990.0,800.0,-230.0
XGBRegressor,-2550.0,-1310.0,-1790.0,-1650.0,-190.0,-1340.0,-740.0,1270.0,770.0,-1290.0,-830.0
Lasso,2490.0,2470.0,3230.0,2770.0,1630.0,3090.0,740.0,1780.0,1640.0,2070.0,1300.0
Ridge,1440.0,1150.0,1490.0,3210.0,2960.0,1620.0,950.0,260.0,1160.0,1740.0,1210.0
SGDRegressor,600.0,2030.0,720.0,1030.0,1580.0,2150.0,2390.0,2330.0,2110.0,1660.0,1340.0
