,2015,2016,2017,2018,2019,2020,all_years
Vegas,7.0,7.0,7.0,7.0,7.0,7.0,7.0
HuberRegressor,7.100684250360189,7.130697615530551,7.215598184821758,7.285256240519601,7.196532416292918,7.313461986792859,7.2070384490529795
MLPRegressor,7.503953004924249,7.3218392161115915,7.561219327390333,7.359448799317967,7.2776067189974825,7.583041016733752,7.434518013912562
KNeighborsRegressor,7.200000000000003,7.25,7.299999999999997,7.299999999999997,7.299999999999997,7.450000000000003,7.3
XGBRegressor,7.337364196777344,7.420238494873047,7.4564361572265625,7.372337341308594,7.21319580078125,7.5020599365234375,7.383605321248372
Lasso,7.056175719005537,7.140945860493282,7.226567369771836,7.2235324335601945,7.259081858730866,7.280017447546399,7.197720114851353
Ridge,7.071180346691413,7.156656987721931,7.228585241567423,7.270094111935883,7.193745139625591,7.298502862579355,7.203127448353599
SGDRegressor,7.083988754966441,7.218976180059784,7.1982229944147065,7.229474393822606,7.24429723221737,7.3646594095658955,7.2232698275078
