,2015,2016,2017,2018,2019,2020,all_years
Vegas,0.20422864038879518,0.21408220554701995,0.24269711388326243,0.2570985335043493,0.3024409528373109,0.3154711600975939,0.24989782369380587
HuberRegressor,0.1598275470372683,0.15878624318713408,0.1886556311919837,0.1989619608691252,0.23427686748110688,0.25045397327719543,0.19380879603055445
MLPRegressor,0.07429825411385782,0.11175827363351898,0.13128388660202728,0.16426834342594265,0.19338441233089843,0.21676922632184137,0.14777611501398497
KNeighborsRegressor,0.13765732184308432,0.1431689421337936,0.1674140844047105,0.17731068220283064,0.21330856744579973,0.243895783639677,0.17236238330377057
XGBRegressor,0.12421367697603003,0.12448118472274494,0.16417200694675294,0.1869553728221245,0.22952719727091453,0.24959808608051393,0.1755636898844387
Lasso,0.16347176990359635,0.15764969789927197,0.1855244526763008,0.19914252924817777,0.23188674846360324,0.2493059943572521,0.19233349096223928
Ridge,0.16016392597684959,0.1587788004641365,0.18848162477023112,0.19814500382963374,0.23425058247093267,0.2502799744279911,0.19331331429993243
SGDRegressor,0.16105252844447981,0.15638257171292336,0.18346047858778902,0.198556552766452,0.23093377902623846,0.2473659100720399,0.19100851567712052
