,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-5040.0,-7200.0,-4360.0,-3200.0,-2480.0,-840.0,-1560.0,-1150.0,-90.0,-210.0,270.0
MLPRegressor,-13230.0,-11710.0,-7590.0,-1590.0,-3280.0,-400.0,310.0,-280.0,-540.0,240.0,2010.0
KNeighborsRegressor,-3100.0,-1780.0,-280.0,1320.0,1290.0,-540.0,1400.0,1310.0,760.0,1080.0,70.0
XGBRegressor,-11550.0,-10350.0,-9060.0,-6220.0,-3950.0,-1880.0,-1810.0,-2750.0,-570.0,-210.0,90.0
Lasso,-12390.0,-7370.0,-2970.0,-2540.0,-960.0,-2550.0,-1730.0,-30.0,-470.0,10.0,140.0
Ridge,-8610.0,-5380.0,-2950.0,-2080.0,-2240.0,-310.0,-2170.0,-1650.0,-400.0,-200.0,490.0
SGDRegressor,-9240.0,-8860.0,-4310.0,-2430.0,-650.0,230.0,-2160.0,-1220.0,-200.0,-500.0,-60.0
