,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-18930.0,-13980.0,-9850.0,-7520.0,-2430.0,-2690.0,-1320.0,-2770.0,-1170.0,-1140.0,-610.0
MLPRegressor,-9690.0,-8260.0,-4980.0,-4350.0,-6220.0,-5900.0,-6690.0,-6480.0,-3090.0,-2570.0,-2390.0
KNeighborsRegressor,-3260.0,-2780.0,-2300.0,-820.0,-1780.0,680.0,1380.0,3130.0,5350.0,3450.0,2880.0
XGBRegressor,-6330.0,-3660.0,-3540.0,-1770.0,-3700.0,-330.0,680.0,2660.0,2660.0,3440.0,3810.0
Lasso,-17460.0,-14960.0,-11460.0,-8560.0,-7870.0,-3840.0,-1790.0,-1050.0,-1110.0,360.0,-140.0
Ridge,-15570.0,-15700.0,-9740.0,-9470.0,-4030.0,-1610.0,-1290.0,-2590.0,-1540.0,-480.0,-1040.0
SGDRegressor,-20400.0,-15490.0,-12280.0,-8660.0,-6190.0,-2690.0,-500.0,-1130.0,-50.0,90.0,-360.0
