,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-3370.0,-2420.0,-1030.0,1400.0,380.0,370.0,1210.0,1150.0,340.0,850.0,630.0
MLPRegressor,1880.0,2700.0,2820.0,2330.0,5320.0,4950.0,5090.0,4060.0,3020.0,2330.0,2170.0
KNeighborsRegressor,340.0,2770.0,3160.0,3690.0,4750.0,6750.0,3040.0,1820.0,1990.0,1590.0,1300.0
XGBRegressor,-4630.0,-4960.0,-2740.0,-890.0,-2290.0,-3690.0,-1300.0,290.0,2210.0,3040.0,2380.0
Lasso,-4420.0,-3410.0,-2280.0,-680.0,270.0,920.0,1740.0,2800.0,1960.0,1130.0,1080.0
Ridge,-4210.0,-1340.0,520.0,-210.0,-170.0,930.0,1820.0,1550.0,900.0,1050.0,350.0
SGDRegressor,-5680.0,-3070.0,-1410.0,-140.0,140.0,1220.0,1150.0,2800.0,2070.0,1020.0,810.0
