,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-3535.4223118538307,-3409.3868954596014,-2462.5999476341212,-2278.067080391598,-2524.8402125912003,-1611.9577365058747,-110.46657943201767,-607.4627468967235,-1198.7880929751939,-394.8994261072333,-550.4975995806382
MLPRegressor,-5778.161034766133,-5272.352089722377,-4792.323398407344,-5445.324138565932,-5810.318630511716,-5218.569544247546,-4582.998454221079,-4202.620807362094,-2215.5406138874805,-2107.8954162300383,-2397.687101733085
KNeighborsRegressor,-3654.114773825061,-2984.4820352970683,-2863.7223948838623,-2335.9619875292265,-1257.8196510963294,-1454.7190510724197,-1219.4965754790326,-815.6786918355369,-218.24102434722784,-171.8498752604928,-459.5999045813751
XGBRegressor,-5322.757741715755,-4652.012034284132,-4186.361666973999,-3211.1685825732206,-2031.2249140570239,-1960.6514465639939,-1674.7133827469677,-1592.543893703669,-1115.2919103124552,-736.1802311292527,-479.63287872492845
Lasso,-4011.59630960661,-4037.4566219468093,-3014.928612857437,-1582.6434291305343,-1678.8058168535256,-2586.8998718243574,-2074.6168308194474,-1283.767242957572,-440.7479114104996,-717.7960632678589,-740.8114092593564
Ridge,-3665.394425172376,-3639.561623292112,-2737.4606019443845,-2550.1572167140885,-2806.7436737533963,-1704.7533021595195,-1136.9021867097142,-428.57160799875936,-1112.9428829284716,-804.8711997543923,-383.30035970078404
SGDRegressor,-2374.6226218025613,-2762.0812156944435,-2703.955150466201,-1448.0235115363723,-2038.550069155397,-1062.2618273368198,-859.9754135975903,-589.2960288166698,-645.8055477022267,-432.0844391537255,-500.5002501656659
