,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,8353.0,4309.0,726.0,-1222.0,561.0,338.0,-55.0,340.0,135.0,-155.0,-190.0
MLPRegressor,-8881.0,-10787.0,-7743.0,-7612.0,-4384.0,-1800.0,1633.0,-2962.0,-512.0,1966.0,1574.0
KNeighborsRegressor,14517.0,7686.0,6127.0,8036.0,4625.0,4673.0,2341.0,237.0,-431.0,744.0,644.0
XGBRegressor,12501.0,8273.0,4792.0,2678.0,1541.0,1243.0,1664.0,7.0,-431.0,-232.0,293.0
Lasso,8070.0,-107.0,331.0,1786.0,3075.0,1358.0,233.0,-219.0,-105.0,-90.0,-200.0
Ridge,11587.0,2928.0,-79.0,-1067.0,-342.0,-792.0,-390.0,220.0,-215.0,95.0,10.0
SGDRegressor,11557.0,4304.0,-535.0,1385.0,1556.0,683.0,310.0,-105.0,-170.0,-80.0,-200.0
