,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-4440.0,1010.0,-1730.0,-1260.0,-830.0,550.0,-140.0,-110.0,-170.0,-500.0,-630.0
MLPRegressor,-2970.0,-1970.0,-920.0,330.0,570.0,940.0,1200.0,2060.0,1310.0,320.0,790.0
KNeighborsRegressor,-4220.0,-890.0,1460.0,290.0,240.0,820.0,-480.0,50.0,660.0,550.0,370.0
XGBRegressor,-5280.0,-2350.0,-550.0,540.0,990.0,-380.0,50.0,220.0,-440.0,-570.0,-1010.0
Lasso,-6540.0,-1720.0,-1660.0,-990.0,-700.0,-80.0,-590.0,-410.0,-740.0,-410.0,-370.0
Ridge,-2340.0,160.0,-1430.0,-880.0,-1810.0,-1380.0,330.0,50.0,130.0,-700.0,-620.0
SGDRegressor,-4440.0,-1830.0,1680.0,-260.0,290.0,870.0,260.0,510.0,-40.0,-420.0,-470.0
