,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-2910.0,-760.0,1760.0,3610.0,1670.0,-940.0,1710.0,3300.0,1730.0,390.0,-970.0
MLPRegressor,4860.0,4870.0,4900.0,3190.0,2210.0,3490.0,3950.0,3630.0,3880.0,4130.0,5560.0
KNeighborsRegressor,1720.0,3790.0,6180.0,5080.0,4810.0,8020.0,7030.0,3460.0,3960.0,2140.0,1010.0
XGBRegressor,-2490.0,160.0,-790.0,750.0,2580.0,4160.0,5940.0,5100.0,3960.0,3560.0,2640.0
Lasso,-180.0,-3270.0,30.0,1370.0,2380.0,1130.0,1580.0,2340.0,490.0,380.0,60.0
Ridge,-390.0,810.0,2750.0,3340.0,3270.0,-300.0,1560.0,1930.0,1300.0,-200.0,-390.0
SGDRegressor,-2700.0,-2730.0,-2010.0,2080.0,2690.0,2710.0,2390.0,2990.0,180.0,70.0,-300.0
