,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-6720.0,-5680.0,-3340.0,-780.0,-570.0,-2100.0,-550.0,-1620.0,-1990.0,-1250.0,-920.0
MLPRegressor,-13440.0,-9910.0,-8730.0,-8030.0,-3770.0,-2650.0,-2150.0,70.0,680.0,850.0,-220.0
KNeighborsRegressor,-9230.0,-8370.0,-7430.0,-4420.0,-1240.0,2630.0,4290.0,3890.0,3340.0,3550.0,1930.0
XGBRegressor,-9870.0,-8380.0,-2650.0,-2910.0,-1850.0,-1540.0,-50.0,-670.0,-90.0,-770.0,-1140.0
Lasso,-7770.0,-6130.0,-5480.0,-3910.0,-880.0,-2110.0,-2220.0,-500.0,-570.0,-600.0,-360.0
Ridge,-5250.0,-5670.0,-1190.0,-1220.0,50.0,-1610.0,-220.0,-1920.0,-2380.0,-1160.0,-470.0
SGDRegressor,-9240.0,-5790.0,-6810.0,-1390.0,-3110.0,-760.0,-1960.0,50.0,-400.0,-890.0,-350.0
