,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-9800.0,-5680.0,-1230.0,-3100.0,-3700.0,-2370.0,-1400.0,-1760.0,-1830.0,-660.0,-430.0
MLPRegressor,-3710.0,-600.0,-550.0,-3290.0,-6630.0,-6130.0,-6430.0,-4890.0,-1850.0,470.0,310.0
KNeighborsRegressor,-12300.0,-10310.0,-10120.0,-7260.0,-6870.0,-5690.0,-5790.0,-2990.0,-2170.0,-170.0,490.0
XGBRegressor,-15680.0,-12450.0,-7380.0,-2750.0,-1510.0,-1830.0,-390.0,60.0,-900.0,-2680.0,-1960.0
Lasso,-6650.0,-4680.0,-3660.0,-3660.0,-3050.0,-1330.0,-3020.0,-560.0,140.0,-540.0,-240.0
Ridge,-8750.0,-5350.0,-740.0,-970.0,-3170.0,-2340.0,-1290.0,-1210.0,-1670.0,-640.0,-420.0
SGDRegressor,-6440.0,-4400.0,-6330.0,-5960.0,-3130.0,-1760.0,-2650.0,-1140.0,-710.0,-560.0,-340.0
