,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-6476.690475645789,-4950.927516905009,-3285.184527900072,-2151.2446942160823,-2613.2388774180736,-2540.2860708435305,-2158.5151817245282,-1092.8284452882467,-1784.5562879317717,-769.9085704031062,-1117.0106054271719
MLPRegressor,-3950.3991623801794,-5109.377813400661,-5708.12276137868,-5899.78570242751,-4592.197969528017,-5666.341917397108,-4375.557016214735,-3703.7391309169825,-1626.916830016631,-1309.6762405019142,-395.2242374335044
KNeighborsRegressor,-2389.325576698401,-1321.8356375452665,-586.3046101919463,-246.7977412083012,-457.131909649455,-805.4310731222678,-785.3730254399895,-452.6321159342871,-920.7558419287149,-603.1935039962732,-596.512508019054
XGBRegressor,-3650.1229888684534,-3047.6679188307794,-4903.488117924709,-5172.112411947728,-2648.940420665658,-1655.8773486951666,-1291.9281013265716,-541.6706236880566,-388.9728772261759,-800.1256971077487,-1254.692607541928
Lasso,-5232.590953613777,-3808.3728841336415,-3762.968991737231,-3005.7017233329366,-2120.036232310555,-3044.3598992072584,-1935.8630597041017,-2307.553188449725,-1843.2331991667484,-1647.0375379303734,-1287.4939827507794
Ridge,-5232.0744443830845,-5422.727697004893,-3233.1006053455963,-3159.662829745652,-2914.5203004567356,-3044.281937723599,-2395.758440111104,-1770.7349373593177,-1461.5737244929344,-826.8792349701056,-1141.414056729479
SGDRegressor,-4685.795187624384,-3862.041065987988,-3898.6010351848026,-3382.8732794094735,-3280.7979326562254,-2694.3773000268357,-2678.1230114058635,-2360.65943357094,-2214.9342395081694,-994.8507453753117,-902.7296957679184
