,2015,2016,2017,2018,2019,2020,all_years
Vegas,7.878571177367533,8.100428569975685,8.054322999109761,8.091540278224548,8.085240945286985,8.122859523591222,8.055493915592622
HuberRegressor,8.125677366924831,8.359494653914776,8.374728896083322,8.399931402563887,8.44191615074406,8.485508092076685,8.364542760384595
MLPRegressor,9.242880660327888,9.335955363556085,9.411540230415142,9.154298596692094,9.183653997441802,9.183154039976468,9.251913814734912
KNeighborsRegressor,8.201018842979755,8.48735095682236,8.495991155489648,8.508315779758945,8.57226240969578,8.578208558927255,8.473857950612292
XGBRegressor,8.273920088294886,8.471510705234417,8.44523547509894,8.485902340053428,8.474561641502971,8.496971303302793,8.441350258914573
Lasso,8.103042993422259,8.325659733232307,8.386484863673768,8.384368594220547,8.442682473481835,8.489858117285404,8.355349462552688
Ridge,8.113226361239828,8.359171982007172,8.362125774264047,8.393262083287697,8.425083486804036,8.481849021278276,8.355786451480176
SGDRegressor,8.115827899696637,8.315410383864064,8.387834783231133,8.398146438116317,8.451146560432448,8.497748177392713,8.361019040455554
