,2015,2016,2017,2018,2019,2020,all_years
Vegas,6.75,6.75,6.75,6.75,6.75,6.825471698113219,6.7625786163522035
HuberRegressor,6.833940716745509,6.831630661107901,6.852467841331297,6.997614664209259,7.008967979937836,6.943493611571149,6.911352579150492
MLPRegressor,7.760819685835671,7.868226034482845,7.80809412469597,7.806776658716998,7.6994315781272675,7.719782588645614,7.777188445084061
KNeighborsRegressor,6.950471698113212,7.133832140533507,7.116037735849055,7.122641509433976,7.064459986987643,7.261792452830193,7.108205920624598
XGBRegressor,6.984395153117632,7.144878387451172,7.045642852783203,7.132915496826172,7.087738037109375,7.077028598425514,7.078766420952178
Lasso,6.755220231437185,6.88033522592594,6.9433488123717595,6.895325802043757,6.965311245604717,6.965117987347,6.900776550788393
Ridge,6.846399925199265,6.836644456415073,6.856245865538412,7.000949946978565,6.992841696367734,6.949058951335054,6.913690140305683
SGDRegressor,6.695182385417667,6.88045877478357,6.955224632978954,6.968631613638358,6.961300690219147,7.0283301501623825,6.91485470786668
