,2015,2016,2017,2018,2019,2020,all_years
Vegas,9.950014386462177,10.181616971177922,10.17053808562245,10.19017396358751,10.180165567648801,10.216244095701928,10.148125511700131
HuberRegressor,10.262363167621734,10.594329680518722,10.586351519636372,10.582415720135684,10.66390853875083,10.753486138797944,10.573809127576881
MLPRegressor,11.694753263962669,11.765182924296923,11.895135176543002,11.458307187606337,11.574442294080013,11.56381134260159,11.658605364848421
KNeighborsRegressor,10.42215880374776,10.711083058270223,10.73355588356471,10.704621685539887,10.830220175299308,10.815858767037863,10.702916395576624
XGBRegressor,10.43907972280721,10.671687055985092,10.639668790548988,10.640334102000095,10.68590223052484,10.691669438880139,10.628056890124395
Lasso,10.217507344370917,10.548730606223462,10.586107039585428,10.556596236409817,10.6728144830744,10.75246432637682,10.555703339340141
Ridge,10.245745875358306,10.58944020389765,10.567265557352798,10.569630105549438,10.643844216103139,10.748031133367167,10.560659515271416
SGDRegressor,10.239809384403179,10.538734418577103,10.586803693372442,10.563935897026358,10.67833595479614,10.753496027385923,10.560185895926857
