,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,3760.0,2821.0,1311.0,1226.0,665.0,30.0,70.0,-45.0,255.0,135.0,10.0
MLPRegressor,-372.0,-411.0,-291.0,510.0,911.0,9.0,909.0,238.0,-258.0,-248.0,-797.0
KNeighborsRegressor,1281.0,981.0,1105.0,1495.0,255.0,445.0,363.0,-65.0,-260.0,-80.0,220.0
XGBRegressor,4443.0,4429.0,3361.0,2371.0,2471.0,2071.0,1481.0,554.0,-115.0,-115.0,170.0
Lasso,1772.0,290.0,1055.0,1690.0,1340.0,1095.0,330.0,230.0,110.0,0.0,0.0
Ridge,3765.0,3405.0,2071.0,1265.0,865.0,240.0,215.0,55.0,255.0,110.0,110.0
SGDRegressor,3124.0,1351.0,1175.0,1120.0,1140.0,850.0,360.0,230.0,110.0,110.0,0.0
