,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,5480.0,5570.0,4900.0,3160.0,2570.0,290.0,-700.0,-930.0,460.0,610.0,-530.0
MLPRegressor,-1030.0,-2240.0,-3320.0,-3190.0,-1700.0,-2000.0,-900.0,-1240.0,-820.0,490.0,720.0
KNeighborsRegressor,550.0,2230.0,2670.0,3310.0,4810.0,5770.0,3540.0,2820.0,2030.0,1120.0,250.0
XGBRegressor,1700.0,2600.0,2770.0,1960.0,1990.0,280.0,1500.0,540.0,380.0,1640.0,770.0
Lasso,5060.0,3900.0,3580.0,2300.0,980.0,-580.0,1280.0,280.0,390.0,420.0,-100.0
Ridge,5690.0,3760.0,6280.0,5790.0,1950.0,190.0,-580.0,-170.0,270.0,-210.0,-740.0
SGDRegressor,6110.0,8170.0,4850.0,2890.0,180.0,790.0,-230.0,1400.0,700.0,440.0,-80.0
