,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-2856.569071439614,-3363.661880535786,-4170.113380152781,-2661.286981779211,-1539.9889980494477,-961.1603402570382,-514.5850384875672,-684.2421834278838,283.41822540298244,343.75526293969267,-224.42310300322242
MLPRegressor,-2820.99919910655,-1976.7629790810654,-1297.741919340968,-1134.9783952440414,3.127158453397243,-276.22185452072983,-121.04393743805693,-1516.3286060262467,664.2242480156827,1028.7938435544027,674.7223539014506
KNeighborsRegressor,-3225.9646476408807,-4717.662005448775,-3979.4667202947257,-513.3015812357879,570.2795961997119,728.0492114619573,705.1869450025704,50.96756637581456,160.17545295516547,111.7720129914934,104.1982474792639
XGBRegressor,-2511.7788773395423,-2215.1244250677314,-2574.503117174554,-2594.378639335447,-1880.6413290453345,-1589.2863588525788,-1590.7743848272992,-1809.1274248685456,-1685.4042153302403,-1375.879121944667,-1120.7284843177747
Lasso,-1643.0024132500275,-1393.603962911212,-822.6328072233063,-1278.7649055274555,-1180.2910561613708,-668.2540233974503,-1129.780786661942,-320.28333176292006,44.616500100606316,-188.01077395973024,-417.74633668923644
Ridge,-1549.5733364389328,-2778.1190599109796,-3761.8853289047665,-2951.3384322128413,-2355.5998247077814,-1037.6191375605297,-243.88556455250796,-57.466922400451736,313.0147361942228,224.25245697093447,-226.43980142930656
SGDRegressor,-2652.6332680923992,-1021.4400325339184,-2794.4556527779687,-1732.5309803858759,-1759.4445409503674,-1521.0621154336352,-982.2826615038252,120.37200644242058,17.55978733499986,-483.3778535011702,-883.6584831148668
