,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-1064.847775673191,-706.8396280760878,-1603.8677970103686,-857.392613886219,-1537.4377029051477,-1883.2650004002564,-1119.7288373100473,-985.8882071857973,-937.7271401206032,-707.7466130295603,-99.94079410694987
MLPRegressor,-4382.538857117018,-4156.294108845321,-3166.5722266265693,-2159.902346529619,-2062.3644673983617,-1816.9645182250283,-1141.151236896338,-779.8803972485368,-600.7400680453948,-811.3470155096044,-872.7057201287081
KNeighborsRegressor,-2408.5005728615197,-1917.471314273725,-276.28855015580905,-189.5454816232915,-972.5875255789043,-766.8946595059655,-913.3126478358747,184.35969436566165,-302.31933436164724,-386.15081801383343,-458.3008644768782
XGBRegressor,-1541.9335815229567,-956.2541233040838,-296.05192507509184,1144.7581929389935,427.9403809807014,-8.171691611077506,114.01774641584477,-125.47201526940982,-623.1255701028418,-337.66728164426047,204.21877034108905
Lasso,-2978.124236705927,-2949.0714617568005,-1975.056669219535,-501.0637961997727,-659.5852034106945,-1731.2129286844868,-1638.562631806794,-702.8340454656897,-298.2541402849523,-263.89111119891885,-265.13969705363286
Ridge,-1002.5911706745657,-887.0836489998255,-1155.03547581986,-774.3340512789638,-1253.6248760943504,-1716.0034132841563,-1496.797275245672,-1131.5005206300189,-1024.0158361191507,-177.1105760131787,-1.9518001966607352
SGDRegressor,-2038.1018391757775,-2772.1559346764093,-792.3462900546906,-1032.384210399147,-1542.9862609182937,-1745.689014368974,-1219.9565159501951,-906.8123547331936,-467.63211865904736,-453.21490534324107,-257.57032242704736
