,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-220.0,600.0,1100.0,1580.0,2780.0,3600.0,2500.0,730.0,1880.0,-110.0,90.0
MLPRegressor,-4630.0,-4570.0,-3510.0,-1280.0,-1310.0,410.0,310.0,720.0,1530.0,-140.0,1110.0
KNeighborsRegressor,-1900.0,-1650.0,-1100.0,1670.0,1030.0,840.0,510.0,1950.0,740.0,300.0,270.0
XGBRegressor,4190.0,4320.0,3120.0,5460.0,4860.0,2340.0,3250.0,3110.0,3920.0,2880.0,1860.0
Lasso,-3370.0,-1680.0,610.0,790.0,2370.0,1830.0,1890.0,1060.0,1480.0,420.0,-1240.0
Ridge,-1690.0,810.0,1230.0,2120.0,2930.0,4160.0,2090.0,2370.0,1080.0,-210.0,-1130.0
SGDRegressor,-2320.0,-1370.0,1650.0,1490.0,2050.0,2830.0,1380.0,2990.0,1880.0,140.0,-450.0
