,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-5710.0,-4230.0,-3730.0,-2960.0,-3010.0,-3770.0,-1610.0,-1600.0,-1410.0,-370.0,-990.0
MLPRegressor,-9280.0,-7220.0,-5190.0,-3620.0,-2220.0,-2970.0,-1600.0,-2890.0,-2450.0,-1580.0,-850.0
KNeighborsRegressor,-4430.0,-3970.0,-2780.0,-1590.0,-260.0,720.0,-580.0,-1340.0,-830.0,-1030.0,-1300.0
XGBRegressor,1640.0,1170.0,2890.0,810.0,-1810.0,-2380.0,-2640.0,-590.0,1520.0,1640.0,1580.0
Lasso,-7390.0,-5220.0,-5680.0,-6190.0,-4080.0,-5560.0,-3430.0,-2690.0,-830.0,-550.0,-530.0
Ridge,-3610.0,-3100.0,-2200.0,-2650.0,-4030.0,-1570.0,-2300.0,-1760.0,-990.0,530.0,-1160.0
SGDRegressor,-8020.0,-5080.0,-5810.0,-6380.0,-3560.0,-5270.0,-4800.0,-2270.0,-1990.0,-880.0,-660.0
