,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-7082.6134740794605,-6975.566309506534,-4820.051003899678,-3453.8602340309944,-2295.9949436595375,-2066.5608595328194,-1966.5160449360103,-1427.5819988982407,-1940.2038066104435,-451.03193845595973,-105.76151686520686
MLPRegressor,-6505.649498399841,-5428.284983506855,-2874.6521174512336,-4799.424832462472,-4660.30940340627,-2127.2615192536773,-2225.1653195353465,-1355.8745028809954,-1344.0639326120615,-1692.2671500263264,-1596.5768910988286
KNeighborsRegressor,-4770.220382152263,-4459.014292187707,-3954.3821351740603,-1251.9054535750786,-702.7503085428907,-627.2330420003831,-409.48686623523605,70.75233505823736,-244.68625420531384,208.13443583758496,41.88611476912302
XGBRegressor,-6319.013046293754,-5036.78970800759,-1300.7986379190954,-1752.4697956775467,-2547.6394942290085,-1672.9849074014144,-2959.7854101818466,-3506.2951836640964,-2731.442947998285,-1612.0015369492444,-910.1981206962042
Lasso,-5955.046181721564,-6256.459211080703,-4338.899963425345,-3625.2968772647073,-2289.0105456261117,-1897.8141877288951,-1815.7481834738699,-597.132651686627,62.3337606428132,23.32911531826747,232.6419849163917
Ridge,-6472.235355935518,-6801.322437506021,-4387.255410431713,-3553.993656353997,-2295.7832756972225,-1763.5593992027564,-2391.4645901123795,-1909.774914913734,-1640.7844239807805,-812.1302581780949,65.00669215501127
SGDRegressor,-5978.98803077837,-5841.148801012316,-4611.325313831561,-3042.6508017123815,-2558.4860015923127,-2567.862185124967,-1285.5179060489781,-220.06900654586406,-175.6440077990171,588.8802073599282,265.9167798625628
