,2015,2016,2017,2018,2019,2020,all_years
Vegas,0.23031416498974788,0.2376591902666605,0.2721751982131285,0.2766735803429462,0.32541754104708953,0.34010508224284264,0.27442438927803736
HuberRegressor,0.1812234224279068,0.17399856880278763,0.21180820694933422,0.21930820083115354,0.2584121974090533,0.26974407507388265,0.21555820389024388
MLPRegressor,-0.06435983479622531,-0.01941978522087351,0.0035413779946202872,0.0848262233648932,0.12686954378681337,0.16926130714679277,0.044183800679756746
KNeighborsRegressor,0.15481514295884158,0.1560326061495294,0.18930972436611793,0.2006383851775675,0.23503130993807841,0.26093028719848055,0.1949740547718427
XGBRegressor,0.15233345462906533,0.1616633578907284,0.20314253618481637,0.2103618492576822,0.2553204014575371,0.2779179339303459,0.20675219272124928
Lasso,0.18776424644358836,0.18103136983095347,0.21173076310870387,0.22276789953654896,0.25706920560019353,0.2696218985000107,0.21724933132262642
Ridge,0.1832941642463899,0.17454145268215027,0.21432045994338556,0.22092125471254953,0.26114202776901574,0.2703027361458171,0.21762085732796754
SGDRegressor,0.1850742758802757,0.18259092949238442,0.21165295993930755,0.22166505412021154,0.25627954637744854,0.2694269225314617,0.21665900702975954
