,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-914.0,-385.0,-229.0,-828.0,-967.0,-327.0,-240.0,-195.0,-400.0,-200.0,-100.0
MLPRegressor,560.0,-1421.0,-5040.0,-2923.0,-3093.0,-2385.0,-755.0,-894.0,-394.0,566.0,1218.0
KNeighborsRegressor,4735.0,4528.0,5737.0,5967.0,4077.0,2156.0,1145.0,442.0,306.0,256.0,316.0
XGBRegressor,1554.0,1084.0,-1104.0,-1379.0,41.0,371.0,551.0,336.0,-298.0,162.0,127.0
Lasso,20.0,-677.0,-462.0,-603.0,-268.0,-500.0,30.0,-125.0,75.0,-100.0,-100.0
Ridge,273.0,-1536.0,-1244.0,-1453.0,-762.0,-652.0,-490.0,-195.0,-400.0,-100.0,0.0
SGDRegressor,1136.0,-20.0,-1154.0,-667.0,-468.0,-635.0,-175.0,-125.0,-90.0,-100.0,-100.0
