,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,424.0,-1557.0,-263.0,-558.0,611.0,415.0,165.0,15.0,0.0,0.0,0.0
MLPRegressor,-1195.0,-368.0,42.0,-544.0,-459.0,1709.0,1318.0,1242.0,1153.0,1587.0,621.0
KNeighborsRegressor,1471.0,1135.0,-1584.0,-584.0,325.0,-299.0,130.0,-385.0,-350.0,50.0,10.0
XGBRegressor,-375.0,-62.0,593.0,699.0,-1271.0,-1302.0,-387.0,223.0,488.0,348.0,223.0
Lasso,1561.0,-930.0,-215.0,-165.0,68.0,-89.0,-69.0,-200.0,0.0,0.0,0.0
Ridge,1272.0,-1492.0,-287.0,-198.0,333.0,-60.0,325.0,20.0,-100.0,0.0,0.0
SGDRegressor,1075.0,88.0,-310.0,37.0,-154.0,-229.0,225.0,-100.0,0.0,0.0,0.0
