,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,2452.0,1712.0,1274.0,786.0,425.0,170.0,130.0,290.0,25.0,0.0,0.0
MLPRegressor,-1833.0,-2389.0,-2114.0,-2428.0,-2243.0,-1933.0,-1027.0,-2133.0,-808.0,-282.0,303.0
KNeighborsRegressor,880.0,568.0,886.0,706.0,-89.0,316.0,-189.0,-645.0,-640.0,-40.0,10.0
XGBRegressor,1721.0,25.0,-1082.0,-533.0,-684.0,-745.0,-660.0,-1110.0,-870.0,-635.0,-135.0
Lasso,1637.0,984.0,259.0,574.0,610.0,475.0,-90.0,-100.0,0.0,0.0,0.0
Ridge,2527.0,992.0,345.0,396.0,90.0,70.0,-255.0,240.0,25.0,0.0,0.0
SGDRegressor,3333.0,1737.0,711.0,384.0,810.0,860.0,120.0,-200.0,0.0,0.0,0.0
