,0,1,2,3,4,5,6,7,8,9,10
HuberRegressor,-7590.0,-5810.0,-4240.0,-3900.0,-3670.0,-2950.0,-3600.0,-1160.0,-1010.0,-1490.0,-2060.0
MLPRegressor,-7380.0,-6920.0,-6840.0,-3740.0,-1850.0,690.0,1190.0,2080.0,2770.0,2870.0,2670.0
KNeighborsRegressor,-10610.0,-7010.0,-1690.0,610.0,2110.0,3480.0,3590.0,2610.0,3750.0,780.0,1780.0
XGBRegressor,-450.0,3330.0,6520.0,6640.0,3660.0,3110.0,800.0,1400.0,2000.0,2270.0,3050.0
Lasso,-13890.0,-10820.0,-8090.0,-5900.0,-3070.0,-3950.0,-1820.0,-2000.0,-2450.0,-1390.0,-1930.0
Ridge,-6750.0,-4660.0,-2450.0,-1670.0,-780.0,-3100.0,-4090.0,-1730.0,-1550.0,-1730.0,-1490.0
SGDRegressor,-14100.0,-8640.0,-8870.0,-6560.0,-3880.0,-4870.0,-3420.0,-1950.0,-170.0,-1410.0,-1040.0
