,2015,2016,2017,2018,2019,2020,total
Vegas,7.0,7.0,7.25,7.25,7.25,7.25,7.166666666666667
XGB,7.329978942871094,7.442497253417969,7.788417816162109,7.477836608886719,7.523994445800781,8.023872591414538,7.597766276425535
