,2015,2016,2017,2018,2019,2020,total
Vegas,10.159921657976202,10.36843500930958,10.549850203487885,10.620234792206237,10.990647139968623,11.042078954499868,10.621861292908065
XGB,10.721952826569067,11.016125769465184,11.250431235949003,11.339617673620104,11.892298957812597,11.74472537484484,11.327525306376799
