,2015,2016,2017,2018,2019,2020,total
Vegas,8.161865074453486,8.279545101504812,8.404444996465427,8.436536364400958,8.753906554621468,8.78632575336814,8.470437307469048
XGB,8.538605198664708,8.790870981958893,9.013272138162996,8.969443933544227,9.36854934229006,9.394499350873964,9.012540157582475
