date,home,away,season,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,home_win,pts_gotten_h,pts_allowed_h,fg_pct_gotten_h,fg_pct_allowed_h,ft_pct_gotten_h,ft_pct_allowed_h,fg3_pct_gotten_h,fg3_pct_allowed_h,ast_gotten_h,ast_allowed_h,reb_gotten_h,reb_allowed_h,wins_gotten_h,wins_allowed_h,pts_gotten_a,pts_allowed_a,fg_pct_gotten_a,fg_pct_allowed_a,ft_pct_gotten_a,ft_pct_allowed_a,fg3_pct_gotten_a,fg3_pct_allowed_a,ast_gotten_a,ast_allowed_a,reb_gotten_a,reb_allowed_a,wins_gotten_a,wins_allowed_a,ou,spread,ml_home,ml_away,ou_home,ou_away,points_total,home_margin
2012-10-30,CLE,WAS,2012,94.0,0.456,0.682,0.35,22.0,54.0,84.0,0.356,0.6,0.25,26.0,39.0,True,88.125,104.375,0.40975,0.498125,0.7086250000000001,0.7545,0.2995,0.391875,15.875,25.25,40.5,44.375,1.0,7.0,93.625,88.625,0.451875,0.419625,0.715625,0.7942499999999999,0.312,0.311375,21.5,17.5,42.625,40.875,6.0,2.0,190.5,-6.0,-250,210,98.25,92.25,178,10
2012-10-30,LAL,DAL,2012,91.0,0.494,0.387,0.231,24.0,46.0,99.0,0.471,0.778,0.333,22.0,40.0,False,93.125,100.375,0.41125,0.459625,0.802375,0.773875,0.31425,0.316625,17.625,19.0,43.25,43.5,2.0,6.0,95.75,100.25,0.427125,0.475,0.86025,0.7518750000000001,0.337125,0.39725,16.75,21.625,42.0,40.0,2.0,6.0,186.5,-8.5,-500,400,97.5,89.0,190,-8
2012-10-30,MIA,BOS,2012,120.0,0.544,0.813,0.5,25.0,36.0,107.0,0.52,0.821,0.462,24.0,41.0,True,99.875,93.875,0.463125,0.4476249999999999,0.7945,0.7793749999999999,0.39175,0.27875,16.75,16.375,41.5,37.0,6.0,2.0,91.25,94.25,0.440875,0.45075,0.76425,0.69225,0.273625,0.31575,17.625,17.5,38.5,42.25,4.0,4.0,187.5,-6.5,-280,240,97.0,90.5,227,13
2012-10-31,CHI,SAC,2012,93.0,0.418,0.758,0.222,21.0,46.0,87.0,0.405,0.813,0.353,14.0,40.0,True,88.125,84.75,0.44075,0.4,0.686375,0.734,0.342125,0.25025,23.875,15.875,48.125,39.875,4.0,4.0,102.5,106.875,0.467375,0.50525,0.7055,0.76,0.335125,0.390625,21.875,23.375,39.0,44.375,3.0,5.0,191.0,-6.5,-275,235,98.75,92.25,180,6
2012-10-31,DET,HOU,2012,96.0,0.443,0.769,0.375,21.0,36.0,105.0,0.494,0.739,0.37,28.0,45.0,False,94.0,94.875,0.4385,0.425,0.7438750000000001,0.765625,0.357875,0.29425,19.5,22.875,42.375,46.125,3.0,5.0,96.625,101.25,0.4285,0.469375,0.7368750000000001,0.7935,0.339,0.347,21.75,20.125,42.75,44.25,2.0,6.0,194.0,-2.5,-135,115,98.25,95.75,201,-9
2012-10-31,LAC,MEM,2012,101.0,0.514,0.69,0.333,25.0,39.0,92.0,0.384,0.8,0.143,24.0,44.0,True,89.5,95.25,0.438875,0.458375,0.68275,0.7275,0.357,0.292125,17.25,21.375,36.875,43.0,2.0,6.0,91.0,88.875,0.432125,0.44775,0.741875,0.6676249999999999,0.24225,0.342875,16.5,16.0,43.0,36.625,4.0,4.0,188.0,-4.5,-175,155,96.25,91.75,193,9
2012-10-31,NOP,SAS,2012,95.0,0.438,0.913,0.235,26.0,43.0,99.0,0.475,0.654,0.3,22.0,43.0,False,89.125,87.625,0.451,0.4041249999999999,0.762875,0.744,0.281625,0.28025,19.875,19.875,42.125,41.0,5.0,3.0,100.75,102.5,0.474,0.475125,0.7166250000000001,0.774375,0.408,0.38,22.75,21.375,40.0,40.5,4.0,4.0,186.5,7.0,255,-305,89.75,96.75,194,-4
2012-10-31,PHI,DEN,2012,84.0,0.353,0.81,0.28,18.0,47.0,75.0,0.375,0.455,0.222,19.0,54.0,True,84.625,87.75,0.413,0.43175,0.6953750000000001,0.83525,0.349875,0.25725,19.0,21.5,41.125,42.75,4.0,4.0,101.0,97.0,0.4555,0.42825,0.69975,0.6976249999999999,0.307125,0.313625,22.0,21.5,47.75,45.125,4.0,4.0,197.5,2.0,110,-130,97.75,99.75,159,9
2012-10-31,PHX,GSW,2012,85.0,0.4,0.773,0.19,16.0,44.0,87.0,0.384,0.696,0.294,19.0,49.0,False,102.375,105.5,0.461625,0.469375,0.76325,0.823625,0.3419999999999999,0.36425,20.875,21.125,42.875,43.875,3.0,5.0,94.375,101.5,0.45175,0.4485,0.71575,0.756625,0.35925,0.331375,21.25,23.875,40.125,48.25,1.0,7.0,202.0,-2.0,-140,120,102.0,100.0,172,-2
2012-10-31,POR,LAL,2012,116.0,0.506,0.821,0.45,19.0,30.0,106.0,0.5,0.813,0.444,21.0,45.0,True,98.125,107.625,0.435625,0.5015,0.7922500000000001,0.7815000000000001,0.340125,0.44025,19.125,23.75,39.625,44.375,1.0,7.0,92.125,100.0,0.424375,0.461125,0.754625,0.7738750000000001,0.29625,0.3384999999999999,18.125,19.375,43.0,43.125,2.0,6.0,192.0,2.0,115,-135,95.0,97.0,222,10
