model,threshold,dollars,lower_odds
0,-1.5,10408.0,120
0,0,5301.200000000001,120
0,0.5,4211.200000000001,120
0,1,2446.6,120
0,1.5,1015.0,120
0,2,270.40000000000003,120
0,2.5,156.40000000000003,120
0,3,378.8,120
0,3.5,412.20000000000005,120
0,4,552.8,120
0,4.5,731.0,120
0,5,682.0,120
0,5.5,181.0,120
0,6,-165.0,120
0,6.5,-195.0,120
0,7,-60.0,120
0,7.5,-87.0,120
0,8,47.0,120
0,8.5,64.0,120
0,9,81.0,120
0,9.5,29.0,120
0,10,29.0,120
